country_name,yr1960,yr2017
Tuvalu,6104,11192
Nauru,4433,13649
Palau,9642,21729
British Virgin Islands,8033,31196
St. Martin (French part),4279,32125
San Marino,15397,33400
Gibraltar,23394,34571
Turks and Caicos Islands,5726,35446
Liechtenstein,16495,37922
Monaco,22452,38695
Faroe Islands,34661,49290
Marshall Islands,14662,53127
Northern Mariana Islands,10035,55144
St. Kitts and Nevis,51195,55345
American Samoa,20013,55641
Greenland,32500,56171
Cayman Islands,7865,61559
Bermuda,44400,65441
Dominica,60011,73925
Andorra,13411,76965
Isle of Man,48442,84287
Seychelles,41700,95843
Antigua and Barbuda,55339,102012
Aruba,54211,105264
"Micronesia, Fed. Sts.",44537,105544
Virgin Islands (U.S.),32500,107268
Grenada,89869,107825
Tonga,61601,108020
St. Vincent and the Grenadines,80949,109897
Kiribati,41233,116398
Curacao,124826,161014
Guam,66742,164229
Channel Islands,109420,165314
St. Lucia,89897,178844
Samoa,108646,196440
Sao Tome and Principe,64253,204327
Vanuatu,63699,276244
New Caledonia,79000,280460
French Polynesia,78076,283007
Barbados,230939,285719
Iceland,175574,341284
Belize,92064,374681
"Bahamas, The",109528,395361
Brunei Darussalam,81745,428697
Maldives,89887,436330
Malta,326550,465292
Cabo Verde,202310,546388
Suriname,289966,563402
Luxembourg,313970,599449
Solomon Islands,117866,611343
Montenegro,480579,622471
"Macao SAR, China",167796,622567
Guyana,571819,777859
Bhutan,223288,807610
Comoros,191121,813912
Fiji,393386,905502
Djibouti,83636,956985
Cyprus,572930,1179551
Mauritius,659351,1264613
Equatorial Guinea,255323,1267689
Timor-Leste,499950,1296311
Estonia,1211537,1315480
Eswatini,349174,1367254
Trinidad and Tobago,848479,1369125
Bahrain,162427,1492584
Kosovo,947000,1830700
Guinea-Bissau,616409,1861283
Latvia,2120979,1940740
Gabon,499184,2025137
Slovenia,1584720,2066748
"Macedonia, FYR",1488667,2083160
"Gambia, The",367928,2100568
Lesotho,851591,2233339
Botswana,524552,2291661
Pacific island small states,865809,2419188
Namibia,602544,2533794
Qatar,47384,2639211
Lithuania,2778550,2827721
Albania,1608800,2873457
Jamaica,1628252,2890299
Armenia,1874120,2930450
Mongolia,955505,3075647
Puerto Rico,2358000,3337177
Uruguay,2538651,3456750
Bosnia and Herzegovina,3225668,3507017
Moldova,2544000,3549750
Georgia,3645600,3717100
Panama,1132921,4098587
Croatia,4140000,4125700
Kuwait,269618,4136528
Mauritania,858168,4420184
Oman,551740,4636262
Central African Republic,1503508,4659080
Liberia,1120313,4731906
New Zealand,2371800,4793900
Ireland,2828600,4813608
Costa Rica,1333040,4905769
"Congo, Rep.",1037220,5260750
Norway,3581239,5282223
